Saída TERMINAL;TRAJETO;Veículos
;;
07:45;ALFANDEGA x MUSEU PELE + PORTARIA LEVE + ARMAZEM;Ônibus
07:55;ALFANDEGA x MUSEU PELE + PORTARIA LEVE + ARMAZEM;Micro-Ônibus
08:40;ALFANDEGA x MUSEU PELE + PORTARIA LEVE + ARMAZEM;Ônibus
09:40;ALFANDEGA x PORTARIA LEVE + ARMAZEM;Micro-Ônibus
10:40;ALFANDEGA x PORTARIA LEVE + ARMAZEM;Ônibus
11:40;ALFANDEGA x PORTARIA LEVE + ARMAZEM;Micro-Ônibus
12:25;ALFANDEGA x PORTARIA LEVE + ARMAZEM;Ônibus
12:30;ALFANDEGA x PORTARIA LEVE + ARMAZEM;Ônibus
12:35;ALFANDEGA x PORTARIA LEVE + ARMAZEM;Ônibus
12:40;ALFANDEGA x PORTARIA LEVE + ARMAZEM;Micro-Ônibus
13:40;ALFANDEGA x PORTARIA LEVE + ARMAZEM;Micro-Ônibus
14:25;ALFANDEGA x PORTARIA LEVE + ARMAZEM;Ônibus
14:40;ALFANDEGA x PORTARIA LEVE + ARMAZEM;Micro-Ônibus
15:40;ALFANDEGA x PORTARIA LEVE + ARMAZEM;Ônibus
16:40;ALFANDEGA x PORTARIA LEVE + ARMAZEM;Ônibus
17:35;ALFANDEGA x PORTARIA LEVE + ARMAZEM;Micro-Ônibus
18:25;ALFANDEGA x PORTARIA LEVE + ARMAZEM;Ônibus
18:30;ALFANDEGA x PORTARIA LEVE + ARMAZEM;Ônibus
18:35;ALFANDEGA x PORTARIA LEVE + ARMAZEM;Ônibus
18:40;ALFANDEGA x PORTARIA LEVE + ARMAZEM;Micro-Ônibus
19:40;ALFANDEGA x PORTARIA LEVE + ARMAZEM;Micro-Ônibus
20:40;ALFANDEGA x PORTARIA LEVE + ARMAZEM;Micro-Ônibus
21:40;ALFANDEGA x PORTARIA LEVE + ARMAZEM;Micro-Ônibus
22:25;ALFANDEGA x PORTARIA LEVE + ARMAZEM;Ônibus
22:40;ALFANDEGA x PORTARIA LEVE + ARMAZEM;Micro-Ônibus
23:40;ALFANDEGA x PORTARIA LEVE + ARMAZEM;Micro-Ônibus
00:25;ALFANDEGA x PORTARIA LEVE + ARMAZEM;Ônibus
00:30;ALFANDEGA x PORTARIA LEVE + ARMAZEM;Ônibus
00:35;ALFANDEGA x PORTARIA LEVE + ARMAZEM;Ônibus
;;
Saída Armazém;TRAJETO;Veículos
;;
17:15;ARMAZEM + PORTARIA LEVE + MUSEU PELE + ALFANDEGA;Micro-ônibus
18:15;ARMAZEM + PORTARIA LEVE + MUSEU PELE + ALFANDEGA;Micro-ônibus
Saída TERMINAL;TRAJETO;Veículos
;;
05:25;PORTARIA LEVE + MUSEU PELE + ALFANDEGA;Micro-Ônibus
06:15;PORTARIA LEVE + Armazém + MUSEU PELE + ALFANDEGA;Micro-Ônibus
07:20;TURNO _ PORTARIA LEVE + MUSEU PELE + ALFANDEGA;Ônibus
07:30;TURNO _ PORTARIA LEVE + MUSEU PELE + ALFANDEGA;Ônibus
07:40;TURNO _ PORTARIA LEVE + Armazém + MUSEU PELE + ALFANDEGA;Ônibus
08:15;PORTARIA LEVE + Armazém + MUSEU PELE + ALFANDEGA;Micro-Ônibus
09:15;PORTARIA LEVE + Armazém + MUSEU PELE + ALFANDEGA;Micro-Ônibus
10:15;PORTARIA LEVE + Armazém + MUSEU PELE + ALFANDEGA;Ônibus
11:15;PORTARIA LEVE + Armazém + MUSEU PELE + ALFANDEGA;Micro-Ônibus
12:15;PORTARIA LEVE + Armazém + MUSEU PELE + ALFANDEGA;Micro-Ônibus
13:20;TURNO _ PORTARIA LEVE + MUSEU PELE + ALFANDEGA;Ônibus
13:30;TURNO _ PORTARIA LEVE + MUSEU PELE + ALFANDEGA;Ônibus
13:40;TURNO _ PORTARIA LEVE + Armazém + MUSEU PELE + ALFANDEGA;Ônibus
14:15;PORTARIA LEVE + Armazém + MUSEU PELE + ALFANDEGA;Micro-Ônibus
15:15;PORTARIA LEVE + Armazém + MUSEU PELE + ALFANDEGA;Ônibus
15:40;PORTARIA LEVE + Armazém + MUSEU PELE + ALFANDEGA;Micro-Ônibus
16:15;PORTARIA LEVE + Armazém + MUSEU PELE + ALFANDEGA;Micro-Ônibus
17:15;Armazém + PORTARIA LEVE + MUSEU PELE + ALFANDEGA;Micro-Ônibus
17:40;PORTARIA LEVE + Armazém + MUSEU PELE + ALFANDEGA;Ônibus
18:15;Armazém + PORTARIA LEVE + MUSEU PELE + ALFANDEGA;Micro-Ônibus
19:20;TURNO _ PORTARIA LEVE + MUSEU PELE + ALFANDEGA;Ônibus
19:30;TURNO _ PORTARIA LEVE + MUSEU PELE + ALFANDEGA;Ônibus
19:40;TURNO _ PORTARIA LEVE + Armazém + MUSEU PELE + ALFANDEGA;Ônibus
20:15;PORTARIA LEVE + Armazém + MUSEU PELE + ALFANDEGA;Micro-Ônibus
21:15;PORTARIA LEVE + Armazém + MUSEU PELE + ALFANDEGA;Micro-Ônibus
